  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
724940 23234 201201010000 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   56   34 1021.1 30.16 1018.1  57  43 ***** ***** ***** ***** ** 
724940 23234 201201010056 090   7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   54   36 1021.3 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010156 110   7 *** 200 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   53   41 1021.3 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010256 120   9 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   53   39 1021.3 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010356 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   53   42 1021.3 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010456 150   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   52   40 1021.0 30.15 1020.4 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010556 110   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   51   42 1021.1 30.16 1020.7  56  43  0.00 ***** ***** ***** ** 
724940 23234 201201010656 150   5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   49   40 1021.4 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010756 150   6 *** 200 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   48   40 1021.1 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  57 *** ***** *****  0.00 ***** ** 
724940 23234 201201010856 150   7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   47   41 1021.2 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201201010956 150   7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   46   40 1021.2 30.16 1020.7 *** ***  0.00 ***** ***** ***** ** 
