Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H4TX24094|567481.00|-0.0447|-5000.00|5334.00|1000.00|1554.74|1254.11
H2IA01071|1800.00|-0.0974|1800.00|1800.00|1800.00|1800.00|0.00
H2TX17068|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H0NY02085|1080418.00|0.0031|-5000.00|12000.00|1000.00|1622.25|1329.45
S2TX00270|9100.00|-0.0967|-5000.00|5000.00|1000.00|1300.00|3648.48
H0OH18077|818555.00|-0.0213|-2500.00|22006.00|1000.00|1488.28|1557.12
H4FL14059|14111.00|-0.0962|0.00|5000.00|12.00|564.44|1122.81
H6CA24048|1077133.00|0.0028|-5000.00|75000.00|2500.00|2481.87|3978.22
H2AZ02295|1800.00|-0.0974|1800.00|1800.00|1800.00|1800.00|0.00
H0OH08029|2782473.00|0.1617|-5000.00|80072.00|3000.00|3216.73|3419.65
H2IN09134|3500.00|-0.0972|1000.00|2500.00|2500.00|1750.00|750.00
S2ME00083|218195.00|-0.0772|26.00|68750.00|6889.00|21819.50|26049.48
H0MO02148|78480.00|-0.0902|3.00|22094.00|2500.00|4360.00|6211.95
S0CT00177|239233.00|-0.0753|-5000.00|5000.00|1000.00|1415.58|1422.56
H0TN08246|898137.00|-0.0139|-5000.00|5000.00|1000.00|1532.66|1149.76
H0GA13032|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0TX22104|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H8IN09032|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0CT03072|616946.00|-0.0401|-5000.00|5000.00|1000.00|1752.69|1492.83
H8GA02053|50.00|-0.0976|50.00|50.00|50.00|50.00|0.00
H2OK01143|228291.00|-0.0763|-5000.00|8000.00|2000.00|2153.69|1695.11
H2IL08039|242798.00|-0.0749|-5000.00|5000.00|1500.00|1618.65|1876.27
S0UT00165|130999.00|-0.0854|-2500.00|5000.00|1000.00|1350.51|1159.55
H2TX35060|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H8CA12171|399132.00|-0.0604|-5000.00|5000.00|1000.00|1583.86|1403.34
H6NY25125|3636623.00|0.2413|-5000.00|345869.00|1500.00|7639.96|27790.35
H2NY22113|127537.00|-0.0857|10.00|6242.00|1000.00|1574.53|1701.24
S8OR00207|189060.00|-0.0799|-1000.00|5000.00|1000.00|1331.41|884.10
H0SC04257|433004.00|-0.0572|-2500.00|5000.00|1000.00|1370.27|950.13
H4MI03045|-2000.00|-0.0977|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2NY10092|246715.00|-0.0746|10.00|13606.00|2000.00|2442.72|2255.40
P20003984|5647.00|-0.0970|5.00|712.00|50.00|112.94|138.04
S2IN00083|18133659.00|1.5919|-8627.00|982257.00|2000.00|16682.30|70377.10
H2NJ10147|20000.00|-0.0957|-2500.00|5000.00|2500.00|1818.18|1735.63
H6FL06035|573570.00|-0.0441|-5000.00|33212.00|1000.00|1832.49|2397.34
H6NC05109|1500.00|-0.0974|1500.00|1500.00|1500.00|1500.00|0.00
H2TX27190|158950.00|-0.0827|-5000.00|5000.00|1500.00|1938.41|1720.47
H2TX33032|222537.00|-0.0768|-5000.00|98170.00|2000.00|7947.75|18835.16
H8ME01120|191340.00|-0.0797|-1000.00|5000.00|1000.00|1913.40|1612.61
H2NC13144|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2CA06259|366324.00|-0.0634|-5000.00|5000.00|1000.00|1744.40|1753.37
H6IL02124|380143.00|-0.0621|-2500.00|14798.00|1000.00|1881.90|1835.04
H2IL10050|82150.00|-0.0899|-2500.00|6637.00|245.00|1053.21|1636.69
H2NY26171|1014.00|-0.0975|2.00|1000.00|3.00|169.00|371.64
H0PA19095|196316.00|-0.0793|-890.00|119430.00|2500.00|10332.42|26715.85
S0UT00140|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2CA43245|900155.00|-0.0137|-5000.00|220000.00|238.00|1673.15|10148.86
H4NC10047|666769.00|-0.0354|-5000.00|5000.00|1000.00|1626.27|1309.18
H8FL14167|200.00|-0.0975|200.00|200.00|200.00|200.00|0.00
H2PA16063|13053.00|-0.0963|4.00|5625.00|250.00|870.20|1438.10
H0TX03088|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H4TN04015|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
S6WY00068|1956813.00|0.0848|-5000.00|10000.00|1500.00|1920.33|1443.42
S2MD00420|12500.00|-0.0964|2500.00|10000.00|10000.00|6250.00|3750.00
S6MO00289|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H0IN04170|494989.00|-0.0514|-2500.00|5000.00|1000.00|1367.37|1059.73
H2TX25210|1268.00|-0.0974|4.00|1000.00|250.00|317.00|406.43
S6NJ00289|3245522.00|0.2048|-5000.00|150000.00|1500.00|2788.25|9232.18
H2CA52089|4579236.00|0.3291|0.00|483801.00|2000.00|19996.66|74386.79
H0LA02119|-2000.00|-0.0977|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2TX08075|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H2TX21052|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
P80003288|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2VA09077|45844.00|-0.0933|10.00|20000.00|1000.00|2546.89|4470.75
H8MD01086|3000.00|-0.0973|-1000.00|4000.00|4000.00|1500.00|2500.00
S6HI00206|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H0PA07082|1297353.00|0.0233|-5000.00|35504.00|1000.00|1671.85|1781.99
H8IL14075|10380.00|-0.0966|250.00|2000.00|1000.00|943.64|480.95
H8CA42061|83418.00|-0.0898|-5000.00|5000.00|1000.00|1573.92|2027.53
P80000748|4682649.00|0.3387|-20000.00|1451800.00|76.00|4903.30|50487.69
H0TN06224|5500.00|-0.0970|500.00|5000.00|5000.00|2750.00|2250.00
H0VA10137|24779.00|-0.0952|24779.00|24779.00|24779.00|24779.00|0.00
S6NJ00131|-500.00|-0.0976|-500.00|-500.00|-500.00|-500.00|0.00
H2MD06161|5000.00|-0.0971|2500.00|2500.00|2500.00|2500.00|0.00
H4CO03167|-1250.00|-0.0977|-1000.00|-250.00|-250.00|-625.00|375.00
H6OH16029|-250.00|-0.0976|-250.00|-250.00|-250.00|-250.00|0.00
H2CA13099|6000.00|-0.0970|1000.00|5000.00|5000.00|3000.00|2000.00
H4KY06072|2670774.00|0.1513|-5000.00|321400.00|1000.00|4286.96|16883.47
H0FL12119|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
P80002801|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2TX19064|11397.00|-0.0965|250.00|8800.00|736.00|1899.50|3092.82
H2MD06187|10000.00|-0.0966|2500.00|5000.00|2500.00|3333.33|1178.51
H2NV00050|21001.00|-0.0956|1.00|5000.00|1000.00|1615.46|1508.28
H6MI15127|6000.00|-0.0970|1000.00|4000.00|1000.00|2000.00|1414.21
H6NY03031|2709551.00|0.1549|-1000.00|441941.00|1000.00|3827.05|26971.05
H6FL19038|-2500.00|-0.0978|-1000.00|-500.00|-1000.00|-833.33|235.70
H8C006138|1600.00|-0.0974|1600.00|1600.00|1600.00|1600.00|0.00
H2NM01102|123213.00|-0.0861|-1000.00|25000.00|471.00|1665.04|3693.36
H6FL08213|241402.00|-0.0751|-500.00|13883.00|1000.00|2117.56|2221.44
